Project,Halo3,,,,
U3,BQ24040DSQR,locallib:SON40P200X200X80-11N,1,,BQ24040DSQR
U5,INA199A1DCKR,locallib:SOT65P210X110-6N,1,,INA199A1DCKR
U6,RTL8763EAU_QFN50,locallib:QFN-50-1EP_4x6mm_P0.35mm_EP2.7x4.7mm_ESL,1,,RTL8763EAU
U8,TLV62568DRLR,locallib:SOT50P160X60-6N,1,,TLV62568DRLR
U13,TLV74330PDQNR,locallib:SUP_TPS3831L30DQNR,1,,TLV74330PDQNR
U19,LSM6DSLTR,locallib:LSM6DSLTR,1,,
U23,BT_ANT,locallib:TI_IIFA_2p4GHz_tuned_Magnarox,1,,
U344,STM32H7A3VGH6,locallib:BGA100C80P10X10_800X800X110,1,,STM32H7A3VGH6
"W1,W5,W6,W7,W31,W38",TEST_1P,locallib:Test_Point_0.8mmDia_SMD_Tiny,6,DNP,-
W2,TEST_1P,locallib:Test_Point_1.3mmDia_SMD_Tiny,1,DNP,
W8,TEST_1P,locallib:Test_Point_0.8mmDia_SMD_Tiny,1,DNP,
"W9,W12,W18,W19,W20,W22,W28,W29,W33,W34,W35,W45,W46,W47,W48,W50,W51,W52,W55,W57,W58,W59,W60,W61,W65",T1P,locallib:TestPoint_Square_0.5_SMD_Tiny,25,DNP,-
W11,T1P,locallib:Test_Point_1.3mmDia_SMD_Tiny,1,DNP,-
"W14,W15,W63",T1P,locallib:Test_Point_0.8mmDia_SMD_Tiny,3,DNP,-
X1,26MHz,locallib:XTALDFN200X160X70-4N,1,,XRCGB26M000F1S2BR0
X3,40MHz,locallib:XTALDFN200X160X70-4N,1,,XRCGB40M000F1S2BR0
Y2,32.768kHz,locallib:FC-135,1,,FC-135 32.7680KA-A3
